BIOGUIDE_ID,OFFICE,QUARTER,PROGRAM,CATEGORY,DATE,TRANSCODE,RECORDID,PAYEE,START DATE,END DATE,PURPOSE,AMOUNT,YEAR,RECIP (orig.)
C001061,HON. EMANUEL CLEAVER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,1/26/2017,AP,892201,KANSAS CITY POWER & LIGHTS,10/13/2016,11/10/2016,UTILITIES,100.66,2016,KANSAS CITY POWER & LIGHTS
C001061,HON. EMANUEL CLEAVER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,2/8/2017,AP,E0485047,TIME WARNER CABLE,12/1/2016,12/31/2016,UTILITIES,164.05,2016,TIME WARNER CABLE
C000537,HON. JAMES E. CLYBURN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,1/5/2017,AP,E0471322,TIME WARNER CABLE,12/4/2016,1/3/2017,UTILITIES,242.23,2017,TIME WARNER CABLE
C000537,HON. JAMES E. CLYBURN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,1/24/2017,AP,E0479112,TIME WARNER CABLE,1/4/2017,2/3/2017,UTILITIES,242.23,2017,TIME WARNER CABLE
C000537,HON. JAMES E. CLYBURN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,1/24/2017,AP,E0479209,TIME WARNER CABLE,1/3/2017,1/20/2017,UTILITIES,163.56,2017,TIME WARNER CABLE
C000537,HON. JAMES E. CLYBURN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,2/24/2017,AP,E0488141,TIME WARNER CABLE,2/4/2017,3/3/2017,UTILITIES,242.33,2017,TIME WARNER CABLE
C000537,HON. JAMES E. CLYBURN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,2/24/2017,AP,E0488155,TIME WARNER CABLE,1/21/2017,2/20/2017,UTILITIES,281.39,2017,TIME WARNER CABLE
C000537,HON. JAMES E. CLYBURN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,3/10/2017,AP,E0493456,TIME WARNER CABLE,2/21/2017,3/20/2017,UTILITIES,294.74,2017,TIME WARNER CABLE
C000537,HON. JAMES E. CLYBURN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,3/28/2017,AP,E0498443,TIME WARNER CABLE,3/4/2017,4/3/2017,UTILITIES,242.32,2017,TIME WARNER CABLE
C000537,HON. JAMES E. CLYBURN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,1/24/2017,AP,E0479210,TIME WARNER CABLE,12/21/2016,1/2/2017,UTILITIES,118.13,2017,TIME WARNER CABLE
C001077,HON. MIKE COFFMAN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,1/13/2017,AP,E0475121,COMCAST,1/2/2017,2/1/2017,UTILITIES,181.91,2017,COMCAST
C001077,HON. MIKE COFFMAN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,1/20/2017,AP,E0478750,PAETEC,1/1/2017,1/31/2017,UTILITIES,191.88,2017,PAETEC
C001077,HON. MIKE COFFMAN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,2/7/2017,AP,E0483475,COMCAST,2/2/2017,3/1/2017,UTILITIES,191.41,2017,COMCAST
C001077,HON. MIKE COFFMAN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,2/15/2017,AP,E0488596,PAETEC,2/1/2017,2/28/2017,UTILITIES,191.88,2017,PAETEC
C001077,HON. MIKE COFFMAN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,3/8/2017,AP,E0492701,COMCAST,3/2/2017,4/1/2017,UTILITIES,181.91,2017,COMCAST
C001077,HON. MIKE COFFMAN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,3/28/2017,AP,E0498095,PAETEC,3/1/2017,3/31/2017,UTILITIES,191.88,2017,PAETEC
C001068,HON. STEVE COHEN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,1/5/2017,AP,E0469465,COMCAST,12/24/2016,1/23/2017,UTILITIES,117.04,2017,COMCAST
C001068,HON. STEVE COHEN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,1/25/2017,AP,E0479789,COMCAST,1/24/2017,2/23/2017,UTILITIES,121.63,2017,COMCAST
C001068,HON. STEVE COHEN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,3/4/2017,AP,E0490955,COMCAST,2/24/2017,3/23/2017,UTILITIES,121.63,2017,COMCAST
C001068,HON. STEVE COHEN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,3/30/2017,AP,E0499253,COMCAST,3/24/2017,4/23/2017,UTILITIES,121.63,2017,COMCAST
C001068,HON. STEVE COHEN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,3/31/2017,AP,E0500320,HON. STEVE COHEN,1/20/2017,1/20/2017,UTILITIES,599.4,2017,HON. STEVE COHEN
C001053,HON. TOM COLE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,1/10/2017,AP,E0476237,CABLE ONE INC,12/23/2016,1/22/2017,UTILITIES,207.95,2017,CABLE ONE INC
C001053,HON. TOM COLE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,1/10/2017,AP,E0476252,HON. TOM COLE,12/5/2016,1/4/2017,UTILITIES,160.18,2017,HON. TOM COLE
C001053,HON. TOM COLE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,2/1/2017,AP,E0483425,COX COMMUNICATIONS,12/22/2016,1/21/2017,UTILITIES,429.66,2017,COX COMMUNICATIONS
C001053,HON. TOM COLE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,2/13/2017,AP,E0487236,CABLE ONE INC,1/23/2017,2/22/2017,UTILITIES,111.07,2017,CABLE ONE INC
C001053,HON. TOM COLE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,2/13/2017,AP,E0487237,CABLE ONE INC,1/23/2017,2/22/2017,UTILITIES,207.95,2017,CABLE ONE INC
C001053,HON. TOM COLE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,3/6/2017,AP,E0492608,COX COMMUNICATIONS,1/22/2017,2/21/2017,UTILITIES,429.66,2017,COX COMMUNICATIONS
C001053,HON. TOM COLE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,3/6/2017,AP,E0493654,CABLE ONE INC,2/23/2017,3/22/2017,UTILITIES,207.95,2017,CABLE ONE INC
C001053,HON. TOM COLE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,3/6/2017,AP,E0493660,HON. TOM COLE,2/5/2017,3/4/2017,UTILITIES,162.31,2017,HON. TOM COLE
C001053,HON. TOM COLE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,3/6/2017,AP,E0493665,CABLE ONE INC,2/23/2017,3/22/2017,UTILITIES,111.07,2017,CABLE ONE INC
C001053,HON. TOM COLE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,3/7/2017,AP,E0493658,HON. TOM COLE,1/5/2017,2/4/2017,UTILITIES,162.31,2017,HON. TOM COLE
C001053,HON. TOM COLE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,1/10/2017,AP,E0476254,COX COMMUNICATIONS,11/22/2016,12/21/2016,UTILITIES,429.66,2016,COX COMMUNICATIONS
C001092,HON. CHRIS COLLINS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,1/13/2017,AP,E0478058,VERIZON WIRELESS,12/24/2016,1/23/2017,UTILITIES,360.07,2017,VERIZON WIRELESS
C001092,HON. CHRIS COLLINS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,1/13/2017,AP,E0478063,TIME WARNER CABLE,1/2/2017,2/1/2017,UTILITIES,289.25,2017,TIME WARNER CABLE
C001092,HON. CHRIS COLLINS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,1/25/2017,AP,E0480411,VERIZON,12/22/2016,1/21/2017,UTILITIES,127.66,2017,VERIZON
C001092,HON. CHRIS COLLINS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,2/13/2017,AP,E0480410,CM COMMUNICATIONS,1/11/2017,1/11/2017,UTILITIES,111.97,2017,CM COMMUNICATIONS
C001092,HON. CHRIS COLLINS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,2/13/2017,AP,E0486220,TIME WARNER CABLE,2/2/2017,3/1/2017,UTILITIES,199.56,2017,TIME WARNER CABLE
C001092,HON. CHRIS COLLINS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,3/1/2017,AP,E0491485,VERIZON WIRELESS,1/24/2017,2/23/2017,UTILITIES,359.78,2017,VERIZON WIRELESS
C001092,HON. CHRIS COLLINS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,3/13/2017,AP,E0495635,TIME WARNER CABLE,2/23/2017,3/22/2017,UTILITIES,193.92,2017,TIME WARNER CABLE
C001092,HON. CHRIS COLLINS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,3/15/2017,AP,E0495629,RG&E,1/11/2017,2/7/2017,UTILITIES,135.76,2017,RG&E
C001092,HON. CHRIS COLLINS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,3/15/2017,AP,E0495632,CHANLER AGENCY INC,11/1/2016,1/31/2017,UTILITIES,123,2017,CHANLER AGENCY INC
C001092,HON. CHRIS COLLINS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,3/21/2017,AP,912200,CITI PCARD-TWC TIME WARNER CABLE,1/29/2017,2/28/2017,UTILITIES,289.25,2017,CITI PCARD-TWC TIME WARNER CABLE
C001105,HON. BARBARA COMSTOCK,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,1/13/2017,AP,E0477748,COMCAST,12/24/2016,1/23/2017,UTILITIES,103.83,2017,COMCAST
C001105,HON. BARBARA COMSTOCK,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,2/23/2017,AP,E0489461,DOMINION VIRGINIA POWER,12/29/2016,1/30/2017,UTILITIES,158.34,2017,DOMINION VIRGINIA POWER
C001105,HON. BARBARA COMSTOCK,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,2/23/2017,AP,E0489467,COMCAST COMMUNICATIONS,1/24/2017,2/23/2017,UTILITIES,108.77,2017,COMCAST COMMUNICATIONS
C001105,HON. BARBARA COMSTOCK,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,3/8/2017,AP,E0493624,COMCAST COMMUNICATIONS,2/24/2017,3/23/2017,UTILITIES,108.77,2017,COMCAST COMMUNICATIONS
C001105,HON. BARBARA COMSTOCK,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,3/31/2017,AP,E0501361,DOMINION VIRGINIA POWER,1/30/2017,2/28/2017,UTILITIES,120.31,2017,DOMINION VIRGINIA POWER
C001105,HON. BARBARA COMSTOCK,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,1/17/2017,AP,E0478666,DOMINION VIRGINIA POWER,11/29/2016,12/29/2016,UTILITIES,140.82,2016,DOMINION VIRGINIA POWER
C001105,HON. BARBARA COMSTOCK,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,3/31/2017,AP,E0501365,COMCAST,10/24/2016,11/23/2016,UTILITIES,103.83,2016,COMCAST
C001062,HON. K. MICHAEL CONAWAY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,1/11/2017,AP,E0476168,SUDDENLINK,1/3/2017,1/31/2017,UTILITIES,112.86,2017,SUDDENLINK
C001062,HON. K. MICHAEL CONAWAY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,1/11/2017,AP,E0476182,SUDDENLINK,1/3/2017,1/31/2017,UTILITIES,183.55,2017,SUDDENLINK
C001062,HON. K. MICHAEL CONAWAY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,1/26/2017,AP,E0481180,CHARTER COMMUNICATIONS,1/15/2017,2/14/2017,UTILITIES,121.96,2017,CHARTER COMMUNICATIONS
C001062,HON. K. MICHAEL CONAWAY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,2/8/2017,AP,E0485717,SUDDENLINK,2/1/2017,2/28/2017,UTILITIES,196.67,2017,SUDDENLINK
C001062,HON. K. MICHAEL CONAWAY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,2/8/2017,AP,E0485718,SUDDENLINK,2/1/2017,2/28/2017,UTILITIES,110.3,2017,SUDDENLINK
C001062,HON. K. MICHAEL CONAWAY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,3/15/2017,AP,E0495653,SUDDENLINK,3/1/2017,3/31/2017,UTILITIES,196.67,2017,SUDDENLINK
C001062,HON. K. MICHAEL CONAWAY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,3/15/2017,AP,E0495654,SUDDENLINK,3/1/2017,3/31/2017,UTILITIES,110.3,2017,SUDDENLINK
C001078,"HON. GERALD E. ""GERRY"" CONNOLLY",2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,1/27/2017,AP,E0481804,COMCAST,1/23/2017,2/22/2017,UTILITIES,262.48,2017,COMCAST
C001078,"HON. GERALD E. ""GERRY"" CONNOLLY",2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,2/24/2017,AP,E0490039,COX COMMUNICATIONS INC,1/7/2017,2/6/2017,UTILITIES,148.32,2017,COX COMMUNICATIONS INC
C001078,"HON. GERALD E. ""GERRY"" CONNOLLY",2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,2/24/2017,AP,E0490044,COX COMMUNICATIONS INC,2/7/2017,3/6/2017,UTILITIES,134.99,2017,COX COMMUNICATIONS INC
C001078,"HON. GERALD E. ""GERRY"" CONNOLLY",2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,3/1/2017,AP,E0491456,COMCAST,2/23/2017,3/22/2017,UTILITIES,262.48,2017,COMCAST
C001078,"HON. GERALD E. ""GERRY"" CONNOLLY",2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,3/27/2017,AP,E0499157,COX COMMUNICATIONS INC,3/7/2017,4/6/2017,UTILITIES,104.99,2017,COX COMMUNICATIONS INC
C001078,"HON. GERALD E. ""GERRY"" CONNOLLY",2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,3/31/2017,AP,E0501451,COMCAST,3/23/2017,4/22/2017,UTILITIES,262.48,2017,COMCAST
C001078,"HON. GERALD E. ""GERRY"" CONNOLLY",2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,1/3/2017,AP,E0473802,COMCAST,12/23/2016,1/22/2017,UTILITIES,224.09,2017,COMCAST
C000714,HON. JOHN CONYERS  JR.,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,2/17/2017,AP,904174,CITI PCARD-COMCAST,1/3/2017,1/28/2017,UTILITIES,1006.5,2017,CITI PCARD-COMCAST
C000714,HON. JOHN CONYERS  JR.,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,3/21/2017,AP,912200,CITI PCARD-COMCAST,1/29/2017,2/28/2017,UTILITIES,1600.59,2017,CITI PCARD-COMCAST
C000714,HON. JOHN CONYERS  JR.,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,1/19/2017,AP,900647,CITI PCARD-COMCAST,11/29/2016,12/28/2016,UTILITIES,981.58,2016,CITI PCARD-COMCAST
C001094,HON. PAUL COOK,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,1/25/2017,AP,E0480661,HARTL KELLIE J.,1/12/2017,1/12/2017,UTILITIES,2215.42,2017,HARTL KELLIE J.
C001094,HON. PAUL COOK,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,3/6/2017,AP,E0493110,HARTL KELLIE J.,2/27/2017,2/27/2017,UTILITIES,2009.44,2017,HARTL KELLIE J.
C001094,HON. PAUL COOK,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,3/21/2017,AP,912200,CITI PCARD-CTS FRONTIER ONLINEPAY,1/29/2017,2/28/2017,UTILITIES,265.6,2017,CITI PCARD-CTS FRONTIER ONLINEPAY
C000754,HON. JIM COOPER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,2/1/2017,AP,E0475264,COMCAST,12/20/2016,1/19/2017,UTILITIES,135.98,2017,COMCAST
C000754,HON. JIM COOPER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,2/2/2017,AP,E0482114,COMCAST,1/20/2017,2/19/2017,UTILITIES,140.37,2017,COMCAST
C000754,HON. JIM COOPER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,3/1/2017,AP,E0490278,COMCAST,2/20/2017,3/19/2017,UTILITIES,140.37,2017,COMCAST
C000754,HON. JIM COOPER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,3/30/2017,AP,E0500169,COMCAST,3/20/2017,4/19/2017,UTILITIES,140.37,2017,COMCAST
C001059,HON. JIM COSTA,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,1/23/2017,AP,E0480459,COMCAST,1/3/2017,2/2/2017,UTILITIES,429.32,2017,COMCAST
C001059,HON. JIM COSTA,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,1/24/2017,AP,E0481244,COMCAST,1/3/2017,1/13/2017,UTILITIES,281.38,2017,COMCAST
C001059,HON. JIM COSTA,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,1/24/2017,AP,E0481245,COMCAST,1/14/2017,2/13/2017,UTILITIES,801.47,2017,COMCAST
C001059,HON. JIM COSTA,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,2/21/2017,AP,E0489341,COMCAST,2/14/2017,3/13/2017,UTILITIES,796.67,2017,COMCAST
C001059,HON. JIM COSTA,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,2/21/2017,AP,E0489359,COMCAST,2/3/2017,3/2/2017,UTILITIES,442.95,2017,COMCAST
C001059,HON. JIM COSTA,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,3/27/2017,AP,E0499390,COMCAST,3/3/2017,4/2/2017,UTILITIES,442.95,2017,COMCAST
C001059,HON. JIM COSTA,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,1/24/2017,AP,E0481243,COMCAST,12/14/2016,1/2/2017,UTILITIES,511.6,2017,COMCAST
C001106,HON. RYAN A. COSTELLO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,2/14/2017,AP,E0487098,MET-ED,12/29/2016,1/27/2017,UTILITIES,134.59,2017,MET-ED
C001106,HON. RYAN A. COSTELLO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,2/24/2017,AP,E0489457,UGI UTILITIES,12/29/2016,1/30/2017,UTILITIES,175.86,2017,UGI UTILITIES
C001106,HON. RYAN A. COSTELLO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,3/16/2017,AP,E0496397,MET-ED,1/28/2017,2/27/2017,UTILITIES,138.83,2017,MET-ED
C001106,HON. RYAN A. COSTELLO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,1/23/2017,AP,E0479877,UGI UTILITIES,11/29/2016,12/29/2016,UTILITIES,148.66,2016,UGI UTILITIES
C001106,HON. RYAN A. COSTELLO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,2/14/2017,AP,E0486902,MET-ED,12/1/2016,12/28/2016,UTILITIES,129.8,2016,MET-ED
C001069,HON. JOE COURTNEY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,1/10/2017,AP,E0476862,COX COMMUNICATIONS INC,12/21/2016,1/20/2017,UTILITIES,144.71,2017,COX COMMUNICATIONS INC
C001069,HON. JOE COURTNEY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,1/11/2017,AP,E0476869,DIRECTV,12/16/2016,1/15/2017,UTILITIES,130.18,2017,DIRECTV
C001069,HON. JOE COURTNEY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,1/13/2017,AP,E0478156,COMCAST,1/7/2017,2/8/2017,UTILITIES,107.89,2017,COMCAST
C001069,HON. JOE COURTNEY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,1/19/2017,AP,E0479487,EVERSOURCE,12/7/2016,1/9/2017,UTILITIES,271.3,2017,EVERSOURCE
C001069,HON. JOE COURTNEY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,1/27/2017,AP,E0481959,DIRECTV,1/16/2017,2/15/2017,UTILITIES,135.46,2017,DIRECTV
C001069,HON. JOE COURTNEY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,2/2/2017,AP,E0483337,COX COMMUNICATIONS INC,1/21/2017,2/20/2017,UTILITIES,144.71,2017,COX COMMUNICATIONS INC
C001069,HON. JOE COURTNEY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,2/15/2017,AP,E0487798,COMCAST CORPORATION,2/7/2017,3/6/2017,UTILITIES,107.89,2017,COMCAST CORPORATION
C001069,HON. JOE COURTNEY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,2/15/2017,AP,E0487799,EVERSOURCE,1/9/2017,2/6/2017,UTILITIES,242.74,2017,EVERSOURCE
C001069,HON. JOE COURTNEY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,2/27/2017,AP,E0490793,DIRECTV,2/16/2017,3/15/2017,UTILITIES,139.16,2017,DIRECTV
C001069,HON. JOE COURTNEY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,3/6/2017,AP,E0492957,COX COMMUNICATIONS INC,2/21/2017,3/20/2017,UTILITIES,144.71,2017,COX COMMUNICATIONS INC
C001069,HON. JOE COURTNEY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,3/14/2017,AP,E0495458,COMCAST,3/7/2017,4/6/2017,UTILITIES,107.89,2017,COMCAST
C001069,HON. JOE COURTNEY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,3/21/2017,AP,E0497986,EVERSOURCE,2/6/2017,3/6/2017,UTILITIES,209.04,2017,EVERSOURCE
C001096,HON. KEVIN CRAMER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,1/5/2017,AP,896391,MIDCONTINENT COMMUNICATIONS,12/8/2016,1/7/2017,UTILITIES,304.87,2017,MIDCONTINENT COMMUNICATIONS
C001096,HON. KEVIN CRAMER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,1/27/2017,AP,898468,CABLE ONE INC,1/8/2017,2/7/2017,UTILITIES,104.66,2017,CABLE ONE INC
C001096,HON. KEVIN CRAMER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,1/27/2017,AP,898470,MIDCONTINENT COMMUNICATIONS,1/8/2017,2/7/2017,UTILITIES,309.87,2017,MIDCONTINENT COMMUNICATIONS
C001096,HON. KEVIN CRAMER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,2/2/2017,AP,901029,CENTURYLINK,12/13/2016,1/12/2017,UTILITIES,152.26,2017,CENTURYLINK
C001096,HON. KEVIN CRAMER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,2/23/2017,AP,902297,CONSOLIDATED COMMUNICATIONS INC,2/1/2017,2/28/2017,UTILITIES,243.85,2017,CONSOLIDATED COMMUNICATIONS INC
C001096,HON. KEVIN CRAMER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,3/6/2017,AP,904274,MIDCONTINENT COMMUNICATIONS,2/8/2017,3/7/2017,UTILITIES,304.87,2017,MIDCONTINENT COMMUNICATIONS
C001096,HON. KEVIN CRAMER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,3/9/2017,AP,907039,SRT COMMUNICATIONS INC,2/1/2017,2/28/2017,UTILITIES,102.06,2017,SRT COMMUNICATIONS INC
C001096,HON. KEVIN CRAMER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,3/28/2017,AP,907997,CABLE ONE INC,3/8/2017,4/7/2017,UTILITIES,105.19,2017,CABLE ONE INC
C001096,HON. KEVIN CRAMER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,1/9/2017,AP,896781,CENTURYLINK,11/13/2016,12/12/2016,UTILITIES,152.47,2016,CENTURYLINK
